254     12      1      OCT    2015
      1  99999   2836  67.37N 26.65E   178   1130
      6    676  18506  99999  99999    285    180
      5    674  18527   -487   -857  99999  99999
      5    629  18976   -523   -883  99999  99999
      6    615  19121  99999  99999    275    144
      6    593  19356  99999  99999    250    159
      6    552  19819  99999  99999    255    211
      6    507  20369  99999  99999    270    123
      4    500  20460   -539   -889    275    128
      5    495  20524   -543   -903  99999  99999
      6    450  21132  99999  99999    305    200
      6    428  21451  99999  99999    305    159
      6    404  21819  99999  99999    260    133
      5    400  21895   -515   -885  99999  99999
      6    369  22406  99999  99999    280    113
      5    325  23211   -607   -917  99999  99999
      6    325  23211  99999  99999    265     66
      5    307  23565   -597   -927  99999  99999
      4    300  23720   -577   -907    290    154
      5    289  23957   -543   -893  99999  99999
      6    279  99999  99999  99999    310    133
      6    266  99999  99999  99999    280     87
      6    263  99999  99999  99999    270     92
      6    245  99999  99999  99999    265    149
      5    237  25215   -577   -917    290    159
    254      0      4      OCT    2015
      1  99999   2836  67.37N 26.65E   178   2330
      2    300   3040    751     92  99999      3
      3          EFSO                99999     ms
      9   9860    178    -29    -33    150     15
      4  10000     66  99999  99999  99999  99999
      6   9720    294  99999  99999    240     51
      5   9690    317     24    -26  99999  99999
      6   9580    410  99999  99999    255     66
      5   9550    434     30    -40  99999  99999
      4   9250    697      6    -54    250     77
      6   9160    774  99999  99999    245     82
      6   8710   1174  99999  99999    255    102
      4   8500   1369    -47    -87    255    118
      5   8370   1490    -57    -87  99999  99999
      6   8000   1839  99999  99999    270    123
      5   7810   2029    -79   -149  99999  99999
      6   7720   2118  99999  99999    270    169
      5   7260   2590   -123   -152  99999  99999
      6   7250   2600  99999  99999    275    149
      5   7190   2664   -121   -221  99999  99999
      5   7140   2717   -125   -265  99999  99999
      4   7000   2872   -137   -277    280    159
      5   6750   3147   -155   -285  99999  99999
      5   6250   3721   -203   -230  99999  99999
      6   6000   4017  99999  99999    290    180
      6   5850   4200  99999  99999    295    190
      6   5250   4985  99999  99999    285    221
      6   5170   5096  99999  99999    280    231
      5   5160   5107   -305   -341  99999  99999
      4   5000   5340   -313   -348    280    272
      5   4820   5598   -325   -352  99999  99999
      5   4460   6141   -351   -386  99999  99999
      6   4400   6235  99999  99999    285    432
      5   4350   6315   -343   -387  99999  99999
      4   4000   6900   -377   -421    285    489
      5   3730   7377   -409   -469  99999  99999
      5   3590   7636   -421   -446  99999  99999
      5   3530   7750   -421   -531  99999  99999
      5   3460   7885   -431   -481  99999  99999
      5   3390   8022   -439   -519  99999  99999
      5   3330   8141   -451   -498  99999  99999
      6   3040   8742  99999  99999    285    658
      4   3000   8830   -493   -573    285    658
      7   2640   9657   -537   -667    285    561
      5   2590   9780   -533   -703  99999  99999
      4   2500  10010   -535   -705    275    535
      5   2060  11253   -531   -811  99999  99999
      6   2030  11350  99999  99999    280    432
      4   2000  11450   -513   -813    280    442
      5   1960  11581   -493   -833  99999  99999
      5   1750  12317   -519   -859  99999  99999
      6   1690  12546  99999  99999    295    339
      6   1600  12905  99999  99999    285    267
      6   1540  13156  99999  99999    280    303
      4   1500  13330   -507   -887    285    283
      6   1460  13505  99999  99999    275    293
      6   1240  14564  99999  99999    290    298
      6   1100  15341  99999  99999    285    185
      4   1000  15960   -529   -899    285    236
      5    893  16693   -495   -875  99999  99999
