 254     12      1      OCT    2016
      1  99999   2836  67.37N 26.65E   178   1130
      5    195  99999  99999  99999    240     51
      5    190  99999  99999  99999    275     87
      5    186  26741   -555   -915    280    108
    254     12      2      OCT    2016
      1  99999   2836  67.37N 26.65E   178   1130
      2    200   2720   1130    139  99999      0
      3          EFSO                99999     ms
      9   9860    178     86     16    255     46
      4  10000     61  99999  99999  99999  99999
      5   9540    447  99999  99999    255     51
      5   9350    611     32    -13  99999  99999
      4   9250    700     24    -14    280     62
      5   9220    726  99999  99999    280     62
      5   9090    840     12    -21  99999  99999
      5   9010    911     22    -48  99999  99999
      5   8710   1182  99999  99999    265     82
      4   8500   1379    -19    -79    275     93
      5   8320   1546  99999  99999    270     98
      5   8310   1558    -33    -93  99999  99999
      5   8030   1826  99999  99999    290    108
      5   7880   1976    -57   -137  99999  99999
      5   7650   2205  99999  99999    310     72
      5   7430   2432    -87   -112  99999  99999
      5   7260   2612  99999  99999    310     51
      5   7150   2728   -107   -148    300     51
      5   7080   2803   -113   -203  99999  99999
      5   7060   2826   -113   -233  99999  99999
      5   7010   2884  99999  99999    280     72
      4   7000   2896   -113   -203    280     72
      5   6990   2907   -113   -203  99999  99999
      5   6780   3140   -125   -355  99999  99999
      5   6710   3217  99999  99999    275    123
      5   6310   3676  99999  99999    295     72
      5   6130   3890  99999  99999    280     62
      5   6010   4037  99999  99999    310     51
      5   5880   4200  99999  99999    315     21
      5   5580   4590  99999  99999    315     67
      5   5400   4834  99999  99999    300    118
      5   5290   4988  99999  99999    285    123
      5   5230   5076   -229   -499  99999  99999
      4   5000   5410   -253   -453    290    139
      5   4790   5719   -275   -465  99999  99999
      5   4640   5943  99999  99999    295    149
      5   4620   5977   -297   -387  99999  99999
      5   4490   6179   -315   -475  99999  99999
      5   4270   6531   -343   -423  99999  99999
      5   4100   6813   -369   -469  99999  99999
      5   4020   6954  99999  99999    285    149
      4   4000   6990   -385   -422    285    149
      5   3930   7111   -393   -410  99999  99999
      5   3850   7251   -407   -447  99999  99999
      5   3680   7556   -433   -455  99999  99999
      5   3640   7629   -437   -497  99999  99999
      5   3630   7647   -435   -615  99999  99999
      5   3610   7684   -435   -575  99999  99999
      5   3290   8300   -481   -530  99999  99999
      5   3160   8562  99999  99999    295    144
      4   3000   8900   -525   -585    310    144
      5   2790   9369  99999  99999    320    149
      7   2780   9389   -545   -635    320    149
      5   2720   9533  99999  99999    315    170
      5   2640   9720   -527   -727  99999  99999
      4   2500  10080   -513   -673    315    113
      5   2480  10131  99999  99999    310     98
      5   2470  10158   -511   -671  99999  99999
      5   2440  10236  99999  99999    295     72
      5   2300  10617   -539   -709    305    118
      5   2180  10963  99999  99999    295    134
      5   2150  11052  99999  99999    300    118
      5   2090  11235  99999  99999    275     98
      5   2020  11455  99999  99999    295     98
      4   2000  11520   -489   -819    290     87
      5   1920  11788   -481   -831    260     62
      5   1820  12138   -501   -841  99999  99999
      5   1810  12174  99999  99999    285     98
      5   1700  12586  99999  99999    270    144
      5   1630  12862  99999  99999    285    103
      4   1500  13410   -467   -837    275     77
      5   1490  13454   -465   -835  99999  99999
      5   1470  13542  99999  99999    265     72
      5   1430  13722  99999  99999    275     67
      5   1290  14395  99999  99999    255    129
      5   1220  14759  99999  99999    285     57
      5   1190  14921  99999  99999    280     46
      5   1170  15031  99999  99999    265     62
      7   1130  15259   -527   -867    270     93
      5   1110  15376  99999  99999    275     77
      5   1080  15555  99999  99999    260     67
      5   1050  15739  99999  99999    275    123
      4   1000  16060   -515   -865    290     51
      5    968  16271  99999  99999    225     51
      5    882  16871   -525   -865  99999  99999
      5    864  17005  99999  99999    280    118
      5    834  17234   -493   -853  99999  99999
      5    809  17433  99999  99999    280     87
      5    790  17588  99999  99999    250     98
      5    776  17705  99999  99999    250    123
      5    712  18268  99999  99999    255     51
      5    704  18342  99999  99999    260     62
      4    700  18380   -527   -877    260     67
      5    676  18603  99999  99999    250     93
      5    671  18652   -541   -881  99999  99999
      5    636  18995  99999  99999    265    129
      5    629  19065   -547   -887  99999  99999
      5    623  19126  99999  99999    275    103
      5    588  19497  99999  99999    260     72
      5    572  19674  99999  99999    280     93
      5    548  19948   -531   -881  99999  99999
      5    547  19959  99999  99999    265     77
      5    515  20348  99999  99999    300     57
      4    500  20540   -567   -897    270     26
      5    499  20552  99999  99999    265     26
      5    489  20680   -577   -917  99999  99999
      5    488  20693  99999  99999    255     51
      5    471  20918  99999  99999    265     77
      5    451  21192   -551   -901  99999  99999
      5    450  21206  99999  99999    250    134
      5    420  21645  99999  99999    260     87
      5    416  21703   -583   -913  99999  99999
      5    410  21795  99999  99999    250    113
      5    402  21920  99999  99999    260    144
      5    390  22113  99999  99999    270    123
      5    364  22553  99999  99999    265     82
      5    346  22877  99999  99999    315     98
      5    340  22981   -541   -891  99999  99999
      5    338  23019  99999  99999      5     51
      5    322  23332  99999  99999    105     21
      5    314  23494  99999  99999    185     51
      4    300  23790   -557   -887    225     77
      5    295  23896  99999  99999    240     87
      5    285  24115   -567   -897  99999  99999
      5    272  24412  99999  99999    260    123
      5    251  24923  99999  99999    300    103
      5    245  25077  99999  99999    285     72
      5    237  25288  99999  99999    295     77
      5    231  25451  99999  99999    270     72
      5    226  25584   -559   -889  99999  99999
      5    215  25903   -525   -875  99999  99999
      5    210  26054  99999  99999    300    118
      5    202  26305  99999  99999    315     62
      4    200  26370   -547   -877    305     46
      5    184  26901   -557   -887    260     62
    254      0      3      OCT    2016
      1  99999   2836  67.37N 26.65E   178   2330
      2    200   3770   2600    114  99999      0
      3          EFSO                99999     ms
      9   9950    178     16     -1    305     15
      4  10000    137  99999  99999  99999  99999
      5   9880    235  99999  99999    295     57
      5   9710    376     38     -7  99999  99999
      5   9680    400  99999  99999    320    129
      5   9280    744  99999  99999    355     98
      4   9250    771     14    -11    355     93
      5   8850   1123  99999  99999    355    103
      4   8500   1446    -35    -39    345     93
      5   8190   1734  99999  99999    320     87
      5   8010   1910    -71    -73  99999  99999
      5   7200   2732   -113   -151  99999  99999
      5   7100   2842  99999  99999    315    139
      5   7070   2871   -123   -183  99999  99999
      4   7000   2954   -131   -169    320    129
      5   6390   3627  99999  99999    330    103
      5   6250   3802   -205   -218  99999  99999
      5   6140   3933   -193   -263  99999  99999
      5   6120   3956  99999  99999    300     77
      5   5900   4224  99999  99999    275    108
      5   5570   4649   -239   -339  99999  99999
      5   5550   4676  99999  99999    260    108
      5   5520   4715   -235   -405  99999  99999
      5   5130   5246   -261   -491  99999  99999
      4   5000   5440   -273   -503    260    144
      5   4620   5992  99999  99999    255    144
      5   4080   6861  99999  99999    220    159
      4   4000   7000   -395   -475    220    175
      5   3920   7138   -403   -483  99999  99999
      5   3870   7226   -401   -571  99999  99999
      5   3770   7400  99999  99999    220    190
      5   3230   8435   -477   -607  99999  99999
      5   3190   8518  99999  99999    205    180
      5   3080   8747   -493   -553  99999  99999
      4   3000   8930   -503   -563    220    185
      5   2880   9194  99999  99999    220    180
      7   2600   9851   -553   -633    220    118
      5   2540  10001   -521   -681  99999  99999
